imagem,easyocr_texto_bruto,tesseract_texto_bruto,easyocr_codigo_ativo,easyocr_fabricante,easyocr_modelo,easyocr_numero_serie,easyocr_potencia,tesseract_codigo_ativo,tesseract_fabricante,tesseract_modelo,tesseract_numero_serie,tesseract_potencia,gpt4o_codigo_ativo,gpt4o_fabricante,gpt4o_modelo,gpt4o_numero_serie,gpt4o_potencia
placa_teste_12.jpg,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_13.jpg,5 2 White Liquoi 62-M-5018 HP:150.00 1 FLA:166 Storage MOTOR MCC 0 66-9010 Pump 6E 1 2 Digesteis South),"MCC  66- 9010

Compartment et

HP:150.00 FRAME: es .
» FLA‘166.0 -—RPM:1785, sake

*0867-04-02-019-020-01 0-080",62-M-5018,N/A,N/A,N/A,5018 HP,N/A,N/A,N/A,N/A,N/A,62-M-5018,N/A,N/A,N/A,150 HP
placa_teste_14.jpg,Mont 656 8 15 7.5 2 44 5 E 219T 5 2 5 6 8,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5KS213TP3311D9,N/A,7.5 HP
placa_teste_15.jpg,0867 10289324,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10289324,N/A
placa_teste_16.jpg,1 66-M 3 3 Li MCC partment Jon FRAME 1 3 Clarifier 6 8 522 2 1 6 Rake 2 8,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66-M-522,N/A,N/A,N/A,2.20 kW
placa_teste_17.jpg,3 A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,IS-80,N/A
placa_teste_18.jpg,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_19.jpg,ECONOLINE Michigan 49417 Grana Haven; OPERATION GUIDE 3 EXCESSME DUST: RECLAMMED ABRASMES CF FLOLR WHEN  8 MORN 8 1 6 8 ECUALIZE NOZZLE & 3,,N/A,Econoline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ECONOLINE,N/A,N/A,N/A
placa_teste_20.jpg,025-M-1432 K2 LIQUOR FILTER FEED PUMP 8 1 Compartment 8 (144) 8 FRAME: 365T FLA:62 RPM: :J 0867-02-06-020-080-020-030 1185 ALLEN-BRADLEY 3 025-M-1432 LIqUOR FILTER FEED PUMR,"025-M.
K2 LIQUOR ae 1432

R FEED PUMP

025-M-1432

«2 LIQUOR FILTER FEED PUMI",025-M-1432,N/A,N/A,N/A,N/A,025-M-1432,N/A,N/A,N/A,N/A,025-M-1432,ALLEN-BRADLEY,N/A,N/A,50 HP
placa_teste_21.jpg,MACHINE MODEL 8 L 721-19107 2013-V3 TOTAL MACHINE ELECTRICAL POWER INPUT DATA FULL LOAD AMPS HERTZ PHASE 1 12 230 60 OVERCURREHT PROTECTIOH LARGEST CONTROLLED MOTOR PROVIDED DRIVE 8 BAND LENGTH ADJUST SUMMARY FIELD ALIGN 154 INCHES ELECTRICAL SCHEMATIC NUMBER 521590 HYDRAULIC SCHEMATIC NUMBER 1,"Lome MODEL SERIAL NUMBER
Coes] DEBE 2907 1

TOTAL mee ELECTRICAL POWER INPUT DATA
VOLTAGE HERTZ FULLLOAD AMPS

fea ane eel asc)

LARGEST CONTROLLED MOTOR",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NUMBER,N/A,N/A,DOLL,2013-V3,721-19107,N/A
placa_teste_22.jpg,member 0f I 1 1515 M15155159 KENT HA 3,"wcumewrvers [M45155159)
xenwausa —19T95159_

S SESS 6",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Maxim Waterjets,1515,M151515159,N/A
placa_teste_23.jpg,8 1 1 3 4 2 1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_24.jpg,027-207218 1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,027-ZSO-7218,N/A,N/A,N/A,N/A
placa_teste_25.jpg,24-1342 K2 SPARE COOK CIRC PUMP MOTOR 0867-02-02-020-080-080-030 CUBICLE 8,"-020-080-080-030
CUBICLE -#120 ~",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24-1342,N/A,K2 SPARE COOK CIRC PUMP MOTOR,0867-02-02-020-080-080-030,N/A
placa_teste_26.jpg,3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_27.jpg,5 21- 0420 2 2 1 SHOWER [ 1 1 DILUTION SCREEN NO 1 8,"QaAcFY-0125
FLONVANE POSITIONS
(CK SCREEN NO""

ur HOT STO!
SHOWER LUTON",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_28.jpg,WAL-TECH R PAIRED 6 4 DATE 284 5 8 CDTP TYPE 8 BD,,N/A,Wal-Tech,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WAL-TECH,N/A,N/A,3992 LBS/HR
placa_teste_29.jpg,DUT ' TFPE 6 4 9 3 3 8 END 8 03 6 3,"ee Seer ecg

¢

Ny pete oa

{ DENGR:
pale",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150036,3 HP
placa_teste_30.jpg,8 2 LVL VAL GRN 1 8 600 WA ISd TRWEST,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WALTECH VALVE,N/A,N/A,N/A
